scenario_name,condition,duration_sec,snr_db,signal_power,noise_power,noise_level_db,zero_crossing_rate,spectral_centroid_hz,spectral_spread_hz,rms_level_db,peak_level_db,dynamic_range_db,crest_factor,spectral_complexity,temporal_complexity,speech_probability,num_speakers_estimated,intelligibility_estimate
office_2speaker,clean,8.0,,0.020267777144908905,,-46.14408874511719,0.15888014435768127,1837.3211689127106,2228.7926194730967,-16.931936264038086,-0.4455280005931854,16.486408233642578,6.672989845275879,7.610187530517578,0.08913865685462952,0.8072590738423029,2,0.6866751298591697
office_4speaker,clean,10.0,,0.0247800275683403,,-42.484886169433594,0.13447897136211395,1731.4836802176187,2179.6527933019765,-16.05898094177246,-0.4455280005931854,15.613452911376953,6.03493595123291,7.900851726531982,0.08896595239639282,0.8608608608608609,2,0.6907846984268122
cafeteria_quiet,clean,10.0,,0.01709662936627865,,-80.0,0.07215669751167297,1584.2291485577387,2173.9460628667916,-17.670894622802734,-0.4455280005931854,17.225366592407227,7.2655463218688965,7.914804458618164,0.10185425728559494,0.5525525525525525,2,0.5146762351860176
cafeteria_crowded,clean,15.0,,0.014590861275792122,,-80.0,0.051771048456430435,1547.1024269959703,2107.1389228832754,-18.359189987182617,-0.4455280005931854,17.91366195678711,7.864717483520508,8.466695785522461,0.0920574814081192,0.5323549032688459,2,0.4945193123082752
lecture_small,clean,15.0,,0.02347652241587639,,-80.0,0.10331709682941437,1663.5595309756477,2152.8402964569395,-16.29366111755371,-0.4455280005931854,15.848133087158203,6.20021390914917,8.472869873046875,0.1072770208120346,0.695130086724483,2,0.6010023283240269
lecture_large,clean,20.0,,0.019196664914488792,,-80.0,0.10363782197237015,1648.638573197496,2134.440785558055,-17.167741775512695,-0.4455280005931854,16.722213745117188,6.856629371643066,8.765718460083008,0.09922884404659271,0.6978489244622311,2,0.6041880341755455
phone_3speaker,clean,10.0,,0.016960492357611656,,-52.716529846191406,0.13113519549369812,1624.141751393635,2128.5650061078977,-17.70561408996582,-0.4455280005931854,17.260086059570312,7.294647693634033,8.0794095993042,0.08350027352571487,0.8038038038038038,2,0.6516747140627434
phone_5speaker,clean,15.0,,0.014222375117242336,,-80.0,0.09419622272253036,1608.673929534748,2115.3989970132575,-18.470277786254883,-0.4455280005931854,18.024749755859375,7.965948581695557,8.448783874511719,0.08403292298316956,0.6837891927951968,2,0.5895576393377768
office_2speaker,noisy_office_12db,8.0,23.940351200652714,0.02033490529846135,,-40.857929658520796,0.19817342322986897,1886.753182513723,2256.135248923046,-16.9175778489369,-0.4107109593362418,16.50686688960066,6.688724987292169,7.627195713809647,0.08801930708640887,0.7509386733416771,2,0.6683432785821549
office_4speaker,noisy_office_12db,10.0,22.553617137393257,0.024867944421817934,,-38.59721825636937,0.16676354227213921,1791.5994300436312,2216.826276201654,-16.043600568416814,-0.3384209592930898,15.705179609123723,6.0990048110546375,7.918604085700109,0.08776801644683344,0.8068068068068068,2,0.6757591006135072
cafeteria_quiet,noisy_office_12db,10.0,25.102419251862464,0.01715609621571197,,-42.75823451966044,0.2755892224326402,1667.117064724709,2218.0937076960777,-17.655814604792376,-0.4542459964223539,17.20156860837002,7.24566792109348,7.935138226642933,0.09927877173128916,0.5275275275275275,2,0.5185885348882748
cafeteria_crowded,noisy_office_12db,15.0,25.32562045674764,0.014639537507232438,,-43.67034688968993,0.27119279663665263,1623.5221430927882,2154.354166523847,-18.344725715191764,-0.4911987905419464,17.853526924649817,7.8104551274988365,8.48526401286857,0.08941945429236911,0.5363575717144763,2,0.5116791781348531
lecture_small,noisy_office_12db,15.0,26.077543890212283,0.02353574087209422,,-42.36026515171887,0.22556343984766603,1715.8128831959345,2184.241747865286,-16.282720695439178,-0.41390278387524726,15.86881791156393,6.214996537496851,8.487157177650122,0.10520102286930118,0.6637758505670447,2,0.5957096558602686
lecture_large,noisy_office_12db,20.0,26.64907763636128,0.019240709302569735,,-43.806866855032155,0.2202694383419948,1696.5691995303953,2164.9183704223183,-17.15778859257825,-0.43544188860772043,16.72234670397053,6.856734455513401,8.778809217080404,0.0976049272052801,0.6753376688344173,2,0.60243007177597
phone_3speaker,noisy_office_12db,10.0,23.966137276632004,0.017013616463403155,,-41.658170893323565,0.1924449527809549,1696.748010491604,2172.9659167696072,-17.692032950955145,-0.4509704456345691,17.241062505320578,7.278688283044409,8.099827792137907,0.08213594088797468,0.7447447447447447,2,0.6366239445551944
phone_5speaker,noisy_office_12db,15.0,25.617649063750846,0.014262229794096939,,-44.07577476810295,0.2239550998129159,1672.064046358562,2155.91920788607,-18.458124977159535,-0.428368851244425,18.02975612591511,7.9705410298118275,8.46550029324016,0.08228529467689234,0.6544362908605738,2,0.5874996424614577
office_2speaker,noisy_cafeteria_10db,8.0,21.46630824614318,0.020418715530930436,,-38.36602405900733,0.19755623090805396,1915.2864521261756,2271.9546785734497,-16.89971520531888,-0.4156564877738272,16.484058717545054,6.67118418575284,7.635395292027736,0.08742592814257215,0.7521902377972466,2,0.6744723936565694
office_4speaker,noisy_cafeteria_10db,10.0,21.210106109085775,0.02492123121241771,,-37.24441116405816,0.16631978949868437,1813.579028926876,2228.6081285387054,-16.034304505089708,-0.26483527661253176,15.769469228477176,6.144314779566625,7.924103879094803,0.08725327546640514,0.8158158158158159,2,0.6845375691864266
cafeteria_quiet,noisy_cafeteria_10db,10.0,23.561480309531177,0.01716278727958485,,-41.21560211183322,0.25988912430702693,1688.5888480033125,2228.1209215793547,-17.65412113948285,-0.35868346837115217,17.2954376711117,7.324397049794212,7.940092015900177,0.09866960317056198,0.6196196196196196,2,0.5689553582680623
cafeteria_crowded,noisy_cafeteria_10db,15.0,23.390629102575545,0.014663150651368022,,-41.72835613637225,0.2564677352822303,1654.3133020252214,2173.051422251632,-18.337726316695957,-0.5934414941581938,17.744284822537765,7.7128384779876455,8.492248357063245,0.08873969687255616,0.5863909272848565,2,0.5429193597832027
lecture_small,noisy_cafeteria_10db,15.0,23.499660937870132,0.023625926501795416,,-39.765772451904404,0.21788424118433827,1746.733209243195,2202.280136994046,-16.266110949135356,-0.47039690764903946,15.795714041486317,6.162908182581565,8.490564344593114,0.10455209138687875,0.705136757838559,2,0.6226462708650694
lecture_large,noisy_cafeteria_10db,20.0,23.982515590128877,0.019289408091745692,,-41.12932657760802,0.21373816793177478,1723.0206933673016,2180.906684705643,-17.14681036225711,-0.42506163958929194,16.72174872266782,6.856262418993375,8.780726657932865,0.09698662009791587,0.7088544272136068,2,0.6246187685246055
phone_3speaker,noisy_cafeteria_10db,10.0,22.765345631577407,0.017040137943938004,,-40.450614569735336,0.18838867742923393,1709.1367833383038,2180.824328241296,-17.68526827299542,-0.4414602189975938,17.243808053997824,7.280989389008464,8.1016812296395,0.0818614525605414,0.7617617617617618,2,0.6473105338992248
phone_5speaker,noisy_cafeteria_10db,15.0,23.566987373020364,0.01429906363076332,,-42.01391138510685,0.2136550568960704,1697.9259377674791,2172.3796457765216,-18.446923285903175,-0.4809818863712644,17.96594139953191,7.912196516887308,8.468248862938715,0.08181569027037905,0.7078052034689793,2,0.6191609237104696
office_2speaker,noisy_traffic_8db,8.0,22.146801918228633,0.02035191127792938,,-39.06074991086193,0.14371987281150633,1831.9471743787983,2214.8113678353548,-16.913947384046274,-0.5345883541337482,16.379359029912525,6.59125246681766,7.626553020610931,0.08761774680806399,0.8886107634543179,2,0.7261758107604221
office_4speaker,noisy_traffic_8db,10.0,20.593143677454187,0.024934986171601538,,-36.625052360033145,0.12149450934068338,1725.4425435699623,2159.182320836906,-16.031908132898238,-0.43725566352833756,15.594652469369901,6.021887237563269,7.924363704305965,0.08696887181948607,0.9219219219219219,2,0.7200194963049552
cafeteria_quiet,noisy_traffic_8db,10.0,21.799668677664215,0.017232102273129647,,-39.43628604223232,0.12088200551253446,1580.6963356337244,2149.3793863059773,-17.636616703179403,-0.3799174089221118,17.25669929425729,7.291803557612553,7.944080962851994,0.09776860023758374,0.95995995995996,2,0.7175533359450753
cafeteria_crowded,noisy_traffic_8db,15.0,21.674268780878453,0.014738989263963937,,-39.98959175548415,0.11072962804011684,1544.6598941461405,2083.1007298694904,-18.315322259449168,-0.3891260474985806,17.926196211950586,7.876074328928185,8.493485797685839,0.08786983055096798,0.9846564376250834,2,0.7201129138621002
lecture_small,noisy_traffic_8db,15.0,22.014066091259505,0.023636252479143194,,-38.27827988693316,0.12378384909937125,1658.5751637700337,2129.889927801564,-16.26421323097732,-0.3811046479671161,15.883108583010202,6.22523032853241,8.498072760750404,0.10372598950229592,0.9292861907938625,2,0.7167359394047266
lecture_large,noisy_traffic_8db,20.0,21.75258630428825,0.019333372494560606,,-38.88951011858903,0.11990974971796786,1644.2751529238278,2111.378912124788,-17.13692318990672,-0.33002398512128484,16.806899204785434,6.923807035783057,8.790515368133638,0.09608600263383996,0.9304652326163082,2,0.7198356567105697
phone_3speaker,noisy_traffic_8db,10.0,20.463144121297987,0.017094200933055737,,-38.13465607541676,0.12687579297370608,1621.4139682446357,2106.0020210181065,-17.671511290169917,-0.34447534656369183,17.327035943606226,7.351090893320747,8.103596889424265,0.08130840265123611,0.908908908908909,2,0.7035203153615188
phone_5speaker,noisy_traffic_8db,15.0,23.738201334310144,0.014301503846113705,,-42.18438426176312,0.11968799869999458,1606.6361494082616,2101.5027030527917,-18.446182201324252,-0.40698781745407947,18.03919438387017,7.979206683433654,8.463562944974758,0.08182567888042257,0.9319546364242829,2,0.7130630157231521
